año,trimestre,provincia,mbps(mediaDeBajada),Periodo
2018,2,Corrientes,10.87765289559918,2018T2
2018,2,Entre Ríos,10.186702751759963,2018T2
2018,2,Formosa,8.974986530777175,2018T2
2018,2,Jujuy,6.289345589213642,2018T2
2018,2,La Pampa,4.098364171057469,2018T2
2018,2,La Rioja,5.591861584368082,2018T2
2018,2,Mendoza,5.880529663045039,2018T2
2018,2,Misiones,11.759657402552001,2018T2
2018,2,Neuquén,13.365011560107956,2018T2
2018,2,Río Negro,9.509595114373948,2018T2
2018,2,Salta,8.928271706442677,2018T2
2018,2,San Juan,5.845597830692315,2018T2
2018,2,San Luis,5.9005751848808545,2018T2
2018,2,Santa Cruz,5.1892899508557875,2018T2
2018,2,Santa Fe,11.74888462281756,2018T2
2018,2,Santiago Del Estero,5.9110016469983835,2018T2
2018,2,Tierra Del Fuego,5.942745057375916,2018T2
2018,2,Tucumán,13.506545729627103,2018T2
2018,3,Buenos Aires,16.77973513236217,2018T3
2018,3,Capital Federal,21.643368364061413,2018T3
2018,3,Catamarca,7.806521941530631,2018T3
2018,3,Chaco,12.89496189060927,2018T3
2018,3,Chubut,6.076722322942862,2018T3
2018,3,Córdoba,14.8182495375679,2018T3
2018,3,Corrientes,11.493228365457123,2018T3
2018,3,Entre Ríos,10.524753506287304,2018T3
2018,3,Formosa,9.318495441068285,2018T3
2018,3,Jujuy,7.669872151814152,2018T3
2018,3,La Pampa,4.283048376167659,2018T3
2018,3,La Rioja,6.156013225626096,2018T3
2018,3,Mendoza,5.786015677158131,2018T3
2018,3,Misiones,12.487485758721087,2018T3
2018,3,Neuquén,14.674244286624784,2018T3
2018,3,Río Negro,10.06446008106754,2018T3
2018,3,Salta,9.265848177562406,2018T3
2018,3,San Juan,5.738204725877363,2018T3
2018,3,San Luis,8.814987579354126,2018T3
2018,3,Santa Cruz,5.369715716600383,2018T3
2018,3,Santa Fe,12.357326043488575,2018T3
2018,3,Santiago Del Estero,5.779842512369051,2018T3
2018,3,Tierra Del Fuego,5.98788374717833,2018T3
2018,3,Tucumán,15.255950362488306,2018T3
2018,4,Buenos Aires,16.934363010150058,2018T4
2018,4,Capital Federal,22.93530199223472,2018T4
2018,4,Catamarca,8.043920202659912,2018T4
2018,4,Chaco,13.492083570210347,2018T4
2018,4,Chubut,6.085223903684034,2018T4
2018,4,Córdoba,15.813667433629776,2018T4
2018,4,Corrientes,12.138923393387724,2018T4
2018,4,Entre Ríos,11.023282490376955,2018T4
2018,4,Formosa,9.816893711913803,2018T4
2018,4,Jujuy,8.562737601752614,2018T4
2018,4,La Pampa,4.319094957943483,2018T4
2018,4,La Rioja,7.0933821251548945,2018T4
2018,4,Mendoza,5.746675102434321,2018T4
2018,4,Misiones,12.495112674155788,2018T4
2018,4,Neuquén,15.89123364607043,2018T4
2018,4,Río Negro,10.487005565275494,2018T4
2018,4,Salta,10.45728408913591,2018T4
2018,4,San Juan,5.715266539357845,2018T4
2018,4,San Luis,8.818992791900516,2018T4
2018,4,Santa Cruz,5.1195073647728675,2018T4
2018,4,Santa Fe,13.179234899969483,2018T4
2018,4,Santiago Del Estero,6.309255243851745,2018T4
2018,4,Tierra Del Fuego,7.436562008214025,2018T4
2018,4,Tucumán,16.58323444553027,2018T4
2019,1,Buenos Aires,19.643958224230506,2019T1
2019,1,Capital Federal,24.715063293849774,2019T1
2019,1,Catamarca,7.964005155271879,2019T1
2019,1,Chaco,13.444236269077935,2019T1
2019,1,Chubut,5.891730569196159,2019T1
2019,1,Córdoba,15.73486422864591,2019T1
2019,1,Corrientes,12.049695550812029,2019T1
2019,1,Entre Ríos,10.659197328953976,2019T1
2019,1,Formosa,9.825089957835713,2019T1
2019,1,Jujuy,8.560464217465055,2019T1
2019,1,La Pampa,5.057861842867403,2019T1
2019,1,La Rioja,7.092792286992043,2019T1
2019,1,Mendoza,5.742764175317399,2019T1
2019,1,Misiones,12.512773459683503,2019T1
2019,1,Neuquén,15.884653263915219,2019T1
2019,1,Río Negro,10.488420648136287,2019T1
2019,1,Salta,10.377100013969459,2019T1
2019,1,San Juan,5.839263189429536,2019T1
2019,1,San Luis,8.708555188754593,2019T1
2019,1,Santa Cruz,5.779992970397563,2019T1
2019,1,Santa Fe,12.986963477266004,2019T1
2019,1,Santiago Del Estero,6.415070737969083,2019T1
2019,1,Tierra Del Fuego,6.341101450612301,2019T1
2019,1,Tucumán,16.573299964579572,2019T1
2019,2,Buenos Aires,22.480046018557395,2019T2
2019,2,Capital Federal,30.346259857091994,2019T2
2019,2,Catamarca,8.81,2019T2
2019,2,Chaco,16.01024333099657,2019T2
2019,2,Chubut,6.054406893543786,2019T2
2019,2,Córdoba,18.43151783191278,2019T2
2019,2,Corrientes,13.833035083816176,2019T2
2019,2,Entre Ríos,12.193357817950574,2019T2
2019,2,Formosa,10.836611219480826,2019T2
2019,2,Jujuy,12.073382280507326,2019T2
2019,2,La Pampa,5.492288321417966,2019T2
2019,2,La Rioja,7.894163486005089,2019T2
2019,2,Mendoza,6.02629690452623,2019T2
2019,2,Misiones,14.50130254739236,2019T2
2019,2,Neuquén,17.242865250195976,2019T2
2019,2,Río Negro,11.628050204319907,2019T2
2019,2,Salta,12.548748750601563,2019T2
2019,2,San Juan,6.118522013069041,2019T2
2019,2,San Luis,19.875972848399364,2019T2
2019,2,Santa Cruz,6.008047317560813,2019T2
2019,2,Santa Fe,15.074549058890282,2019T2
2019,2,Santiago Del Estero,7.103112882966522,2019T2
2019,2,Tierra Del Fuego,6.34,2019T2
2019,2,Tucumán,18.529317885920335,2019T2
2019,3,Buenos Aires,25.679380143834067,2019T3
2019,3,Capital Federal,38.71410056071139,2019T3
2019,3,Catamarca,9.293407429459826,2019T3
2019,3,Chaco,19.994668122685404,2019T3
2019,3,Chubut,6.966323588474291,2019T3
2019,3,Córdoba,23.193402364939846,2019T3
2019,3,Corrientes,16.69992255090861,2019T3
2019,3,Entre Ríos,14.69513286650061,2019T3
2019,3,Formosa,13.22353748406198,2019T3
2019,3,Jujuy,11.968240929924347,2019T3
2019,3,La Pampa,5.719666464891041,2019T3
2019,3,La Rioja,8.002375296912113,2019T3
2019,3,Mendoza,6.10822854552147,2019T3
2019,3,Misiones,17.931522461372833,2019T3
2019,3,Neuquén,23.74841515996666,2019T3
2019,3,Río Negro,15.983718503999242,2019T3
2019,3,Salta,14.746465244455523,2019T3
2019,3,San Juan,6.038229508650902,2019T3
2019,3,San Luis,19.743826982349614,2019T3
2019,3,Santa Cruz,5.017746940956451,2019T3
2019,3,Santa Fe,18.165529686687883,2019T3
2019,3,Santiago Del Estero,9.389413131426359,2019T3
2019,3,Tierra Del Fuego,6.690701380143412,2019T3
2019,3,Tucumán,19.323994794580525,2019T3
2019,4,Buenos Aires,30.769694141005864,2019T4
2019,4,Capital Federal,44.203178670085876,2019T4
2019,4,Catamarca,24.878307670462615,2019T4
2019,4,Chaco,23.37495080016229,2019T4
2019,4,Chubut,6.994113523445059,2019T4
2019,4,Córdoba,26.16228061451293,2019T4
2019,4,Corrientes,19.255411607971407,2019T4
2019,4,Entre Ríos,17.007580897657125,2019T4
2019,4,Formosa,14.525629551519327,2019T4
2019,4,Jujuy,12.959200042804211,2019T4
2019,4,La Pampa,6.526152195693043,2019T4
